220 open entries; 50 arsenal contexts
[202/220] id=442 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[203/220] id=443 -> BRACKET (vio=0, hold=42, br=1, pf=0, un=7)
[204/220] id=444 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[205/220] id=446 -> BRACKET (vio=0, hold=6, br=1, pf=0, un=43)
[206/220] id=448a -> BRACKET (vio=0, hold=49, br=1, pf=0, un=0)
[207/220] id=448b -> BRACKET (vio=0, hold=0, br=50, pf=0, un=0)
[208/220] id=449 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[209/220] id=450 -> NO_EVALUABLE_READINGS (vio=0, hold=0, br=0, pf=0, un=50)
[210/220] id=59 -> HOLDS_PARTIAL (vio=0, hold=30, br=0, pf=0, un=20)
[211/220] id=61 -> HOLDS_PARTIAL (vio=0, hold=36, br=0, pf=0, un=14)
[212/220] id=63 -> VIOLATED_CANDIDATE (vio=6, hold=24, br=0, pf=0, un=20)
[213/220] id=64 -> VIOLATED_CANDIDATE (vio=4, hold=32, br=0, pf=0, un=14)
[214/220] id=65 -> HOLDS_PARTIAL (vio=0, hold=36, br=0, pf=0, un=14)
[215/220] id=66 -> HOLDS_PARTIAL (vio=0, hold=18, br=0, pf=0, un=32)
[216/220] id=72 -> BRACKET (vio=0, hold=99, br=1, pf=0, un=0)
[217/220] id=76 -> BRACKET (vio=0, hold=49, br=1, pf=0, un=0)
[218/220] id=84 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[219/220] id=85 -> BRACKET (vio=0, hold=49, br=1, pf=0, un=0)
[220/220] id=96 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
done
