1016 sanity graphs
done atlas638 0.1s
done atlas639 0.2s
done atlas640 0.1s
done atlas641 0.1s
done atlas642 0.1s
done atlas643 0.1s
done atlas644 0.1s
done atlas645 0.1s
done atlas646 0.1s
done atlas647 0.1s
done atlas648 0.1s
done atlas649 0.1s
done atlas650 0.1s
done atlas651 0.1s
done atlas652 0.1s
done atlas653 0.1s
done atlas654 0.1s
done atlas655 0.1s
done atlas656 0.1s
done atlas657 0.1s
done atlas658 0.1s
done atlas659 0.1s
done atlas660 0.1s
done atlas661 0.1s
done atlas662 0.1s
done atlas663 0.1s
done atlas664 0.1s
done atlas665 0.1s
done atlas666 0.1s
done atlas667 0.1s
done atlas668 0.1s
done atlas669 0.1s
done atlas670 0.1s
done atlas671 0.1s
done atlas672 0.1s
done atlas673 0.1s
done atlas674 0.1s
done atlas675 0.1s
done atlas676 0.1s
done atlas677 0.1s
done atlas678 0.1s
done atlas679 0.1s
done atlas680 0.1s
done atlas681 0.1s
done atlas682 0.1s
done atlas683 0.1s
done atlas684 0.1s
done atlas685 0.1s
done atlas686 0.1s
done atlas687 0.1s
done atlas688 0.1s
done atlas689 0.1s
done atlas690 0.1s
done atlas691 0.1s
done atlas692 0.3s
done atlas693 0.1s
done atlas694 0.1s
done atlas695 0.2s
done atlas696 0.1s
done atlas697 0.1s
done atlas698 0.1s
done atlas699 0.1s
done atlas700 0.1s
done atlas701 0.1s
done atlas702 0.1s
done atlas703 0.1s
done atlas704 0.1s
done atlas705 0.1s
done atlas706 0.1s
done atlas707 0.1s
done atlas708 0.1s
done atlas709 0.1s
done atlas710 0.1s
done atlas711 0.1s
done atlas712 0.1s
done atlas713 0.1s
done atlas714 0.1s
done atlas715 0.1s
done atlas716 0.1s
done atlas717 0.1s
done atlas718 0.1s
done atlas719 0.1s
done atlas720 0.1s
done atlas721 0.1s
done atlas722 0.1s
done atlas723 0.1s
done atlas724 0.1s
done atlas725 0.1s
done atlas726 0.1s
done atlas727 0.1s
done atlas728 0.1s
done atlas729 0.1s
done atlas730 0.2s
done atlas731 0.1s
done atlas732 0.1s
done atlas733 0.1s
done atlas734 0.1s
done atlas735 0.1s
done atlas736 0.1s
done atlas737 0.2s
done atlas738 0.1s
done atlas739 0.1s
done atlas740 0.1s
done atlas741 0.1s
done atlas742 0.1s
done atlas743 0.1s
done atlas744 0.1s
done atlas745 0.1s
done atlas746 0.1s
done atlas747 0.1s
done atlas748 0.1s
done atlas749 0.2s
done atlas750 0.1s
done atlas751 0.2s
done atlas752 0.1s
done atlas753 0.1s
done atlas754 0.1s
done atlas755 0.1s
done atlas756 0.1s
done atlas757 0.1s
done atlas758 0.1s
done atlas759 0.1s
done atlas760 0.1s
done atlas761 0.1s
done atlas762 0.1s
done atlas763 0.1s
done atlas764 0.1s
done atlas765 0.1s
done atlas766 0.1s
done atlas767 0.1s
done atlas768 0.1s
done atlas769 0.1s
done atlas770 0.1s
done atlas771 0.1s
done atlas772 0.1s
done atlas773 0.1s
done atlas774 0.1s
done atlas775 0.1s
done atlas776 0.1s
done atlas777 0.1s
done atlas778 0.1s
done atlas779 0.1s
done atlas780 0.1s
done atlas781 0.1s
done atlas782 0.1s
done atlas783 0.1s
done atlas784 0.1s
done atlas785 0.1s
done atlas786 0.1s
done atlas787 0.1s
done atlas788 0.1s
done atlas789 0.1s
done atlas790 0.1s
done atlas791 0.1s
done atlas792 0.1s
done atlas793 0.1s
done atlas794 0.1s
done atlas795 0.1s
done atlas796 0.1s
done atlas797 0.1s
done atlas798 0.1s
done atlas799 0.1s
done atlas800 0.1s
done atlas801 0.1s
done atlas802 0.1s
done atlas803 0.1s
done atlas804 0.1s
done atlas805 0.1s
done atlas806 0.1s
done atlas807 0.1s
done atlas808 0.1s
done atlas809 0.1s
done atlas810 0.1s
done atlas811 0.1s
done atlas812 0.1s
done atlas813 0.1s
done atlas814 0.1s
done atlas815 0.1s
done atlas816 0.1s
done atlas817 0.1s
done atlas818 0.1s
done atlas819 0.4s
done atlas820 0.1s
done atlas821 0.1s
done atlas822 0.1s
done atlas823 0.1s
done atlas824 0.1s
done atlas825 0.1s
done atlas826 0.1s
done atlas827 0.1s
done atlas828 0.1s
done atlas829 0.1s
done atlas830 0.1s
done atlas831 0.1s
done atlas832 0.1s
done atlas833 0.1s
done atlas834 0.1s
done atlas835 0.1s
done atlas836 0.1s
done atlas837 0.1s
done atlas838 0.1s
done atlas839 0.1s
done atlas840 0.1s
done atlas841 0.1s
done atlas842 0.1s
done atlas843 0.1s
done atlas844 0.1s
done atlas845 0.4s
done atlas846 0.1s
done atlas847 0.4s
done atlas848 0.1s
done atlas849 0.1s
done atlas850 0.1s
done atlas851 0.1s
done atlas852 0.1s
done atlas853 0.1s
done atlas854 0.1s
done atlas855 0.1s
done atlas856 0.1s
done atlas857 0.1s
done atlas858 0.1s
done atlas859 0.1s
done atlas860 0.1s
done atlas861 0.1s
done atlas862 0.1s
done atlas863 0.1s
done atlas864 0.1s
done atlas865 0.1s
done atlas866 0.1s
done atlas867 0.1s
done atlas868 0.1s
done atlas869 0.1s
done atlas870 0.1s
done atlas871 0.1s
done atlas872 0.1s
done atlas873 0.1s
done atlas874 0.1s
done atlas875 0.1s
done atlas876 0.1s
done atlas877 0.1s
done atlas878 0.1s
done atlas879 0.1s
done atlas880 0.1s
done atlas881 0.1s
done atlas882 0.1s
done atlas883 0.1s
done atlas884 0.1s
done atlas885 0.1s
done atlas886 0.1s
done atlas887 0.1s
done atlas888 0.1s
done atlas889 0.1s
done atlas890 0.1s
done atlas891 0.1s
done atlas892 0.1s
done atlas893 0.1s
done atlas894 0.1s
done atlas895 0.1s
done atlas896 0.1s
done atlas897 0.1s
done atlas898 0.1s
done atlas899 0.1s
done atlas900 0.1s
done atlas901 0.1s
done atlas902 0.1s
done atlas903 0.1s
done atlas904 0.1s
done atlas905 0.1s
done atlas906 0.1s
done atlas907 0.1s
done atlas908 0.1s
done atlas909 0.1s
done atlas910 0.1s
done atlas911 0.1s
done atlas912 0.1s
done atlas913 0.1s
done atlas914 0.1s
done atlas915 0.1s
done atlas916 0.1s
done atlas917 0.1s
done atlas918 0.1s
done atlas919 0.1s
done atlas920 0.1s
done atlas921 0.2s
done atlas922 0.1s
done atlas923 0.1s
done atlas924 0.1s
done atlas925 0.1s
done atlas926 0.1s
done atlas927 0.1s
done atlas928 0.1s
done atlas929 0.1s
done atlas930 0.1s
done atlas931 0.1s
done atlas932 0.1s
done atlas933 0.1s
done atlas934 0.1s
done atlas935 0.1s
done atlas936 0.1s
done atlas937 0.1s
done atlas938 0.1s
done atlas939 0.1s
done atlas940 0.2s
done atlas941 0.1s
done atlas942 0.1s
done atlas943 0.1s
done atlas944 0.1s
done atlas945 0.1s
done atlas946 0.1s
done atlas947 0.1s
done atlas948 0.1s
done atlas949 0.1s
done atlas950 0.1s
done atlas951 0.1s
done atlas952 0.1s
done atlas953 0.2s
done atlas954 0.2s
done atlas955 0.1s
done atlas956 0.1s
done atlas957 0.1s
done atlas958 0.1s
done atlas959 0.1s
done atlas960 0.1s
done atlas961 0.1s
done atlas962 0.1s
done atlas963 0.1s
done atlas964 0.1s
done atlas965 0.1s
done atlas966 0.1s
done atlas967 0.1s
done atlas968 0.1s
done atlas969 0.1s
done atlas970 0.1s
done atlas971 0.1s
done atlas972 0.1s
done atlas973 0.1s
done atlas974 0.1s
done atlas975 0.1s
done atlas976 0.1s
done atlas977 0.1s
done atlas978 0.1s
done atlas979 0.1s
done atlas980 0.1s
done atlas981 0.1s
done atlas982 0.1s
done atlas983 0.1s
done atlas984 0.1s
done atlas985 0.1s
done atlas986 0.1s
done atlas987 0.1s
done atlas988 0.1s
done atlas989 0.1s
done atlas990 0.1s
done atlas991 0.1s
done atlas992 0.1s
done atlas993 0.2s
done atlas994 0.1s
done C5 0.1s
done C6 0.1s
done C7 0.1s
done C8 0.1s
done C9 0.1s
done P7 0.1s
done Petersen 0.1s
done K3,3 0.1s
done K7 0.1s
done K1,3 0.1s
done K1,4 0.1s
done K1,5 0.1s
done K1,6 0.1s
done K1,7 0.1s
done K2,3 0.1s
done K2,4 0.1s
done K(2,2) 0.1s
done K(2,2,2) 0.1s
done K(3,3)mp 0.1s
done C5[K2] 0.5s
done C5[K3] 1.3s
